0,1,2,3,4,5,6,7,8,9,10
id,PID,DFWD1,SV7_CER,PHX_DC,CDC_DC,PDC_DC,SCC_DC,DAY_DC,SBY_DC,Total
1,QSFP-100G-SR4-S,19.0,8.0,28.0, , , , , ,55
2,test,,,,,,,,,
3,QSFP-40G-SR4,138.0, ,36.0, , , , , ,174
4,QSFP-40G-SR4-Finisar, , ,11.0, , , , , ,11
5,QSFP-40G-SR4-GDT-Transport Optic, , ,2.0, , , , , ,2
6,QSFP-40/100-SRBD, ,42.0,80.0, , , , , ,122
7,QSFP-40G-SR-BD,16.0, ,127.0, , , , , ,143
8,QSFP-100G-LR4-S, ,8.0, , , , , , ,8
9,SFP-25G-SR-S,24.0,94.0,28.0, , , , , ,146
10,QSFP to SFP10G adapter, , ,33.0, , , , , ,33
11,SFP-10G-SR,19.0,152.0,132.0, , , , , ,303
12,SFP-10G-LR-S,13.0, ,7.0, , , , , ,20
13,SFP-10G-LR,2.0, , , , , , , ,2
14,SFP-1G-SR, , ,518.0, , , , , ,518
15,SFP-1G-LR, , ,18.0, , , , , ,18
16,SFP-1G-Copper, , ,65.0, , , , , ,65
17,FET-10G,80.0,225.0,220.0, , , , , ,525
18,XFP-10G-LR, , ,2.0, , , , , ,2
19,XFP-10G-SR, , ,6.0, , , , , ,6
20,hi,,,,,,,,,
21,ok1,,,,,,,,,
22,ok1,,,,,,,,,
23,ok,,,,,,,,,
24,ok4,,,,,,,,,
25,ok5,,,,,,,,,
26,okhere,,,,,,,,,
27,hi,,,,,,,,,
28,ok,,,,,,,,,
29,h,,,,,,,,,
30,ehdh,,,,,,,,,
31,hi,,,,,,,,,
32,hi,,,,,,,,,
33,mo,,,,,,,,,
